"id","title","description","category","organization","location","time_commitment","starts_at","ends_at","latitude","longitude","is_active","tags","image_url","source_url","created_at","updated_at"
"1","Jardin partagé - coup de main","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Jardin partagé - coup de main** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Tous les **mardis** à **18:30** (dès **novembre 2025**)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Restos du Cœur","Paris","Mensuel (soirée)","","","48.842045","2.327197","false","débutant, accueil, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"2","Aide alimentaire - distribution","💡 Aide alimentaire - distribution. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Simplon","Paris","2–4 h","","","48.8432","2.347436","false","impact, débutant, accueil","","","2025-09-29T01:25:38Z","2025-10-23T08:09:11Z"
"3","Aide alimentaire - distribution","💡 Aide alimentaire - distribution. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Restos du Cœur","Paris","2–4 h","","","48.856805","2.373615","false","débutant, réseau, convivial","","","2025-09-29T01:25:38Z","2025-10-21T07:46:50Z"
"4","Maraude du soir","💡 Maraude du soir. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Latitudes","Paris","1–2 h","","","48.85494","2.337275","false","réseau, débutant, convivial","","","2025-09-29T01:25:38Z","2025-10-19T14:26:22Z"
"5","Accompagnement numérique","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Accompagnement numérique** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Le Wagon","Paris","Mensuel (soirée)","","","48.841767","2.349079","false","accueil, débutant, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-29T08:05:21Z"
"6","Accueil évènement","💡 Accueil évènement. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Latitudes","Paris","Hebdomadaire","","","48.854053","2.382408","false","réseau, débutant, convivial","","","2025-09-29T01:25:38Z","2025-10-27T18:57:27Z"
"7","Tri de dons","💡 Tri de dons. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Restos du Cœur","Paris","1–2 h","","","48.857794","2.324422","false","débutant, réseau, convivial","","","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"8","Repair Café - accueil","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Repair Café - accueil** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Le Wagon","Paris","Mensuel (soirée)","","","48.863274","2.354629","false","débutant, accueil, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"9","Accueil évènement","💡 Accueil évènement. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Collectif Zéro Déchet","Paris","Ponctuel","","","48.870784","2.361587","false","accueil, débutant, impact","","","2025-09-29T01:25:38Z","2025-10-27T18:57:27Z"
"10","Aide alimentaire - distribution","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Aide alimentaire - distribution** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Tous les **mardis** à **18:30** (dès **novembre 2025**)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Réseau Entourage","Paris","Mardi 18:30–20:00","","","48.851451","2.379108","false","accueil, débutant, réseau","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
