"id","slug","title","chapo","description","body","location","latitude","longitude","source_name","source_url","image_url","created_at","updated_at"
"1","caseus-nancy","CASEUS — Crèmerie-fromagerie (Nancy)","Bénédicte, ex-finance à Paris, ouvre une fromagerie en Vieille-Ville pour remettre du goût, du local et du lien au cœur du quotidien.","Sélection courte, producteurs suivis, conseil à la coupe et plateaux sur mesure.","### 🌿 Le projet
CASEUS, c’est un comptoir de fromages pensé comme une petite boussole du quotidien. Pas d’étagères qui débordent ni de promesses floues : une sélection courte tenue avec soin, des producteurs suivis dans le temps, des explications simples pour aider chacun à choisir selon l’instant. On y vient pour un comté bien affiné, un chèvre encore tendre, une tomme qui raconte son alpage — et on repart avec une histoire à table. L’idée n’est pas de tout avoir, mais de bien tenir ce qu’on propose : régularité, fraîcheur, justesse des prix, petites trouvailles de saison.

### 🚶‍♀️ Parcours avant l’ouverture
Après des années dans la finance, Bénédicte voulait un métier où l’on regarde les gens dans les yeux. Formation aux gestes de cave, visites d’affineurs, patience des fromages qui vivent. Listes, essais, plateaux tests chez des voisins, ajustements. Et surtout, pratique du conseil : écouter, proposer une découverte, donner un accord pain/confiture, expliquer d’où vient tel parfum.

### 🧀 La vie du lieu
À CASEUS, on peut demander « un fromage qui plaît à tout le monde », « quelque chose de plus caractère », « un plateau pour six sans se ruiner ». Le samedi, la file avance au rythme des échanges : un peu de pédagogie et beaucoup de bienveillance. Plateaux prêts pour les apéros, étiquettes et mini-fiches pour glisser deux mots au moment de servir. Le commerce devient un point d’appui gourmand en Vieille-Ville.

### 💡 Pourquoi c’est inspirant
- Une reconversion incarnée qui valorise des fermes et des gestes
- Le conseil comme vraie différence, au-delà du produit
- Le choix du peu mais bien, gage de confiance et de fidélité

—
📍 Adresse : 21 Grande Rue, 54000 Nancy
📸 Crédit photo : CASEUS
📰 Source : Site officiel
","21 Grande Rue, 54000 Nancy","48.693","6.183","Site officiel","https://caseus-nancy.fr/","https://caseus-nancy.fr/ims25/enseigne.png","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"2","laiterie-de-nancy","La Laiterie de Nancy (Nancy)","Matthieu quitte le salariat pour créer une laiterie urbaine visible depuis la rue : yaourts, fromages frais et transparence totale.","Atelier vitré, lait de foin rémunéré au juste prix, pédagogie du goût.","### 🌿 Le projet
La Laiterie de Nancy a quelque chose d’enfantin et de moderne à la fois : on voit travailler, on comprend ce qu’on mange. Dans l’atelier vitré, on fabrique des yaourts, des fromages frais, des desserts lactés avec un lait de foin payé correctement aux éleveurs. Recettes courtes, gestes précis, hygiène millimétrée. Sur l’ardoise, Matthieu note la température, les temps, les ingrédients. Moins de poudre et de promesses ; plus de lait, plus de maîtrise.

### 🚶‍♂️ Parcours avant l’ouverture
Rien n’a été improvisé : formations en micro-transformation, visites d’ateliers, calcul des déperditions et des cadences, chaîne du froid. Un planning serré pour produire juste à temps, sans stock inutile. Et un ton clair : parler simplement de ce qui est compliqué, avec l’humilité du fabricant.

### 🥛 La vie du lieu
On passe « voir si c’est sorti », on revient chercher « ceux d’hier, ils étaient incroyables ». Les enfants collent leur nez à la vitre, posent mille questions. Les écoles visitent ; on goûte, on sent, on apprend. Les habitants suivent les saisons et les essais. Peu à peu, la laiterie devient une évidence : le frais a un visage, une adresse, un prénom.

### 💡 Pourquoi c’est inspirant
- Transparence tenue dans la durée
- Produits ultra-frais qui racontent une filière locale
- Pédagogie douce qui redonne du sens à l’alimentation

—
📍 Adresse : 6 Rue Saint-Nicolas, 54000 Nancy
📸 Crédit photo : Laiterie de Nancy
📰 Source : Article PDF
","6 Rue Saint-Nicolas, 54000 Nancy","48.689","6.187","Article PDF","/stories/articles/laiterie-urbaine.pdf","https://static.wixstatic.com/media/9f3674e120564679859a204316cae6a8.jpg/v1/fill/w_250,h_166,al_c,q_90/9f3674e120564679859a204316cae6a8.jpg","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"3","seventheen-coffee-luneville","Seventhéen Coffee — Coffee-shop à Lunéville","À deux pas du château, Jessie Leclercq redonne vie à la rue de la République avec un coffee-shop fait-maison, des soirées conviviales et un sens de l’accueil qui crée du lien.","","### 🌿 Le projet
Voilà un peu plus d’un an que le Seventhéen Coffee a ouvert ses portes, à deux pas du château de Lunéville. À l’origine du lieu : Jessie Leclercq, 36 ans. Après deux reconversions, elle choisit d’ouvrir son propre commerce dans le centre ancien avec l’envie de proposer un endroit simple, chaleureux, accessible — un lieu où l’on vient pour un café, mais surtout pour se sentir bien.

Dès le départ, l’établissement sert des boissons chaudes, des gourmandises et quelques apéritifs. Depuis le début de l’année, la carte s’est enrichie de salades composées pour répondre aux habitudes du midi. La cellule commerciale du 57 rue de la République, restée sans locataire pendant plusieurs années, a retrouvé une belle vitalité. Avec son mari boulanger, Jessie conçoit des produits faits maison et soignés, en privilégiant le frais et la régularité.

### 🚶‍♀️ Parcours avant l’ouverture
Le chemin vers l’entrepreneuriat n’est pas une ligne droite. Jessie a d’abord travaillé dix années comme coiffeuse, puis cinq ans comme aide-soignante, avant un passage dans la vente en boulangerie. Autant d’expériences qui lui ont apporté le sens du service, le goût du contact et l’envie d’un projet à taille humaine. Ouvrir le Seventhéen Coffee, c’est transformer ce parcours en une aventure qui lui ressemble : concrète, utile et accueillante.

### ☕ La vie du lieu
Au-delà du comptoir, le Seventhéen Coffee est un espace de convivialité. Des soirées à thème sont organisées régulièrement : karaoké, quiz, ateliers… Le « samedi 18 janvier », par exemple, la soirée est dédiée aux années 80 avec un menu couscous-galette. Ce type de rendez-vous crée des habitudes, attire des publics variés et réinscrit la vie au cœur de la rue, à deux pas du château. Entre le service, quelques mots échangés, des prises de nouvelles et des clients qui reviennent, le café remplit sa mission : être un petit point d’ancrage pour la ville.

![Intérieur du Seventhéen Coffee — comptoir et accueil](stories/seventheen-counter.jpg)

### 🍰 À la carte (esprit maison)
- Boissons chaudes préparées avec soin
- Gourmandises « vitrine » et douceurs de saison
- Salades composées pour une pause du midi plus légère
- Petits formats à emporter pour les pressés

### 💡 Pourquoi c’est inspirant
- Une reconversion assumée qui devient un projet épanouissant ✨
- La preuve qu’on peut redonner vie à une rue avec une adresse simple et tenue avec constance 🏘️
- Le **fait-maison** et l’accueil qui créent du **lien réel**, au quotidien 🤝

—
📮 Adresse : 57 rue de la République, 54300 Lunéville
📸 Crédit photo : Marjorie Durupt
📰 Source : *L’Est Républicain* — article de **Marjorie Durupt**, « Après deux reconversions, elle ouvre un coffee-shop à Lunéville » (15 janvier 2025)
","57 Rue de la République, 54300 Lunéville","48.591","6.496","L’Est Républicain — Marjorie Durupt","/stories/articles/seventheen-luneville.pdf","stories/coffee-shop.jpg","2025-09-29T01:25:38Z","2025-10-19T06:37:35Z"
"4","saveurs-exotics-toul","Saveurs Exotics — Épicerie antillaise & africaine (Toul)","Du conseil RH à l’entrepreneuriat local : une épicerie qui fait voyager les papilles et rassemble les gens.","Produits antillais et africains, bar à salade, ateliers cuisine et conseils personnalisés.","### 🌿 Le projet
À Toul, Saveurs Exotics met des couleurs et des arômes dans le quotidien. Derrière le comptoir, une passionnée de cuisine et de partage, passée du conseil en ressources humaines à l’entrepreneuriat gourmand. Objectif : faire découvrir des saveurs d’enfance, valoriser des producteurs méconnus, créer un lieu où l’on vient autant pour échanger que pour acheter.

Étals choisis avec soin : épices des Antilles, condiments africains, boissons artisanales, confitures maison. Chaque référence est sélectionnée pour sa qualité, son histoire et son authenticité. Et parce que la curiosité ouvre l’appétit, le magasin propose un bar à salade et des dégustations thématiques.

### 🚶‍♀️ Parcours avant l’ouverture
Après des années dans la formation, besoin de retrouver du concret. Salons, échanges avec des importateurs, recettes maison affinées. Étudier les produits, apprendre la gestion d’un stock vivant, comprendre les attentes du public : un nouvel apprentissage mené avec rigueur et enthousiasme.

### 🍛 La vie du lieu
Chaque semaine s’anime avec ateliers cuisine, soirées dégustation, playlists créoles et recettes partagées. Les habitués viennent pour un conseil, une idée, un mot. Ici, on parle autant de goût que de souvenirs. En deux ans, l’adresse devient un point de rencontre entre cultures et générations.

### 💡 Pourquoi c’est inspirant
- Reconversion authentique qui fait du commerce un vecteur de lien
- Pédagogie comme ingrédient de la réussite
- Commerce local qui redonne des couleurs au centre-ville

—
📍 Adresse : 9 Rue Pont-des-Cordeliers, 54200 Toul
📸 Crédit photo : Saveurs Exotics
📰 Source : Site officiel
","9 Rue Pont-des-Cordeliers, 54200 Toul","48.682","5.894","Site officiel","https://www.saveurs-exotics.fr/","https://www.saveurs-exotics.fr/wp-content/uploads/2025/06/Slide1-compressed.jpg","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"5","fred-taxi-saulxures","Fred’Taxi — Artisan taxi (Saulxures-lès-Nancy)","À 48 ans, Frédéric passe de cariste à artisan taxi : autonomie, service et confiance au quotidien.","Transport local, médical, scolaire ; qualité de service et régularité.","### 🚕 Le projet
Après vingt ans en entrepôt, Frédéric choisit de devenir artisan taxi. Au-delà du volant, c’est une nouvelle manière d’être utile. Il transporte des patients, des enfants, des habitants isolés, avec la même attention. Ponctuel, poli, fiable, il devient pour beaucoup un repère discret.

### 🔧 Parcours avant l’ouverture
Formation, carte professionnelle, choix du véhicule, micro-entreprise, conventions avec les caisses de santé. Beaucoup d’apprentissage, souvent seul, avec l’aide d’anciens du métier. En échange, une vraie autonomie, des horaires adaptés, une relation de confiance.

### 🤝 La vie du service
Dans les villages autour de Nancy, son numéro circule de bouche à oreille. Rendez-vous médicaux, gares, retours tardifs : toujours une voix calme, un trajet sûr, un mot gentil. Sa spécialité, au fond : rendre la mobilité plus humaine.

### 💡 Pourquoi c’est inspirant
- Reconversion sobre et utile qui recrée du lien de proximité
- Service artisanal au cœur du quotidien
- La fiabilité comme vocation

—
📍 Secteur : Saulxures-lès-Nancy & environs
📸 Crédit photo : Fred’Taxi
📰 Source : Témoignages locaux
","38 Grande Rue, 54420 Saulxures-lès-Nancy","48.654","6.209","Témoignage local","","","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"6","lecrin-damelevieres","L’Écrin — Bar & Lounge (Damelevières)","Ancienne salariée d’EHPAD, elle reprend un bar-lounge et relance la vie du bourg avec une programmation simple et régulière.","Carte courte, scènes ouvertes, partenariats associatifs et ambiance chaleureuse.","### 🌿 Le projet
L’Écrin est un petit lieu convivial au cœur de Damelevières, où l’on se sent accueilli dès le seuil franchi. Après des années en EHPAD, la repreneuse voulait un endroit pour rassembler sans prétention. Un bar-lounge où la carte reste courte, les visages familiers et la musique bien choisie.

Entre un verre de vin, un café ou une planche apéro, les gens se retrouvent. Chaque semaine, une soirée thématique : karaoké, blind test, concert acoustique, jeux. Rien d’excessif, mais tenu, sincère et régulier. La simplicité fait l’ambiance.

### 🚶‍♀️ Parcours avant l’ouverture
Dossier de licence, formation en gestion, recherche de financement. Entourage mobilisé, apprentissage sur le tas de la compta, de la com’ et des autorisations. Chaque étape devient une petite victoire.

### 🎵 La vie du lieu
Plus qu’un bar : un rendez-vous de quartier. Jeunes qui chantent, seniors qui discutent l’après-midi, associations locales qui s’y ancrent. Un commerce de proximité où l’on peut simplement être bien.

### 💡 Pourquoi c’est inspirant
- Reprise audacieuse qui montre qu’on peut changer de vie à tout âge
- Programmation légère mais constante, au service du lien social
- Le “prendre soin” transposé à l’accueil et à la convivialité

—
📍 Adresse : 19 Rue de la Libération, 54360 Damelevières
📸 Crédit photo : L’Écrin
📰 Source : L’Est Républicain (2025)
","19 Rue de la Libération, 54360 Damelevières","48.573","6.346","L'Est Républicain (12/09/2025)","/stories/articles/lecrin-damelevieres.pdf","","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"7","madame-bergamote-nancy","Madame Bergamote — Salon de thé (Nancy)","Un salon de thé artisanal près de Stanislas : pâtisseries fines, thés choisis et accueil soigné.","Recettes maison, ateliers créatifs, ambiance douce et régulière.","### 🌿 Le projet
Madame Bergamote, c’est une parenthèse lumineuse à deux pas de Stanislas. On y entre pour un thé fumant ou une tarte de saison, on y reste pour l’accueil et l’odeur de beurre qui sort du four. Carte courte qui tient ses promesses, régularité, goût de reviens-y.

### 🚶‍♀️ Parcours avant l’ouverture
Derrière le comptoir, une passionnée passée par la formation et la restauration/vente. Carnet de grammages, températures, temps de repos ; recettes ajustées pour tenir le samedi de rush comme le mardi pluvieux. Petite logistique d’un salon de thé : flux, vitrine de 11 h, commandes à la journée, réponse au prénom.

### 🍰 La vie du lieu
Goûters partagés, lecture au calme, ateliers de pâtisserie ou d’aquarelle. La vitrine suit les saisons ; assiettes généreuses, prix raisonnables, ambiance douce. Rien de spectaculaire : c’est tenu. Et c’est ce qui fidélise.

### 💡 Pourquoi c’est inspirant
- Patience et précision au service d’un lieu régulier
- Fait-maison simple et tenu
- Commerce d’accueil qui tisse une communauté

—
📍 Adresse : 3 Grande Rue, 54000 Nancy
📸 Crédit photo : Madame Bergamote
📰 Source : Page officielle
","3 Grande Rue, 54000 Nancy","48.695","6.184","Page officielle","https://madame-bergamote-nancy.eatbu.com/?lang=fr","https://cdn.website.dish.co/media/5f/a2/7245201/Madame-Bergamote-312987467-105901108988435-4889136544572526137-n-jpg.jpg","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"8","galapaga-villers","GALAPAGA — Concept-store éthique (Villers-lès-Nancy)","Laure, éducatrice de jeunes enfants, lance une boutique joyeuse et responsable : écologie, pédagogie, bienveillance.","Puériculture, jeux, mode éthique, ateliers parentaux ; partenaire de la monnaie locale Florain.","### 🌿 Le projet
GALAPAGA porte bien son nom : doux, coloré, posé. Laure y réunit des marques responsables (puériculture, jeux, mode), choisies pour leurs matériaux, leur durabilité et leur bon sens. La boutique n’est pas un défilé d’objets : c’est un parcours. On touche, on comprend, on achète mieux. Des ateliers parents-enfants ponctuent l’année.

### 👣 Parcours avant l’ouverture
Ancienne éducatrice de jeunes enfants, Laure voulait un commerce pédagogique. Fiches claires (origine de la matière, durabilité), démonstrations, adhésion à la monnaie locale Florain pour ancrer l’économie dans le territoire. Elle apprend la vie d’une petite boutique : commandes sans sur-stock, récit des produits, accueil des questions.

### 🧩 La vie du lieu
On peut venir « juste pour comprendre ». Essais de portage, petite réparation, troc de vêtements encore bons. Ambiance bienveillante, prix explicites, retours écoutés. Peu à peu, la boutique devient un tiers-lieu léger.

### 💡 Pourquoi c’est inspirant
- Pédagogie au cœur de l’expérience d’achat
- Économie locale et circulaire au quotidien
- Commerce qui donne envie d’agir simplement

—
📍 Adresse : 34 Boulevard de Baudricourt, 54600 Villers-lès-Nancy
📰 Source : L’Est Républicain
","34 Boulevard de Baudricourt, 54600 Villers-lès-Nancy","48.672","6.152","L’Est Républicain — commerce local","/stories/articles/galapaga.pdf","","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"9","miss-cookies-nancy","Miss Cookies Coffee — Coffee-shop franchisé (Nancy)","Aude quitte la fonction publique pour se lancer en franchise : un cadre rassurant, un accueil très personnel.","Coffee/snacking rue des Ponts, exécution régulière, équipe locale.","### 🔄 Le virage
Choisir une franchise, pour Aude, c’est accélérer sans partir de zéro : process éprouvés, achats centralisés, formation initiale. Elle garde l’essentiel pour elle : accueil, régularité, ambiance. Son café doit être un repère simple et bien tenu.

### 🧰 Parcours avant l’ouverture
Étude d’enseignes, échanges avec des franchisés, notes sur flux et stocks. Validation de l’emplacement, recrutement d’une équipe locale, apprentissage du rythme (vitrine 11 h, rush 16 h, fermeture douce). Quelques semaines d’ajustement, puis la mécanique se pose.

### ☕ La vie du lieu
Matins petit-déj’ et cafés à emporter ; après-midi cookies et pauses réconfort. Touche personnelle : playlists douces, partenariats créateurs du coin, opérations solidaires. Rien d’extravagant, mais une constance qui fait revenir.

### 💡 Pourquoi c’est inspirant
- Reconversion pragmatique et assumée
- Process au service d’un accueil personnel
- Régularité qui gagne la confiance du quartier

—
📍 Adresse : 9 Rue des Ponts, 54000 Nancy
📸 Crédit photo : Miss Cookies Coffee
📰 Source : Site officiel
","9 Rue des Ponts, 54000 Nancy","48.693","6.182","Site officiel","https://www.misscookies.com/","https://www.misscookies.com/photos/produits-patisseries.jpg","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
"10","alexs-pastries-vandoeuvre","Alex’s Pastries — Pâtisserie (Vandœuvre-lès-Nancy)","De l’enseignement à la pâtisserie artisanale : une entreprise gourmande, locale et sur-mesure.","Entremets, gâteaux personnalisés, ateliers à domicile et commande en ligne.","### 🌿 Le projet
Alex’s Pastries fabrique des entremets soignés et des gâteaux personnalisés qui racontent une personne, une table, une fête. Le modèle est simple : commande pour éviter le gâchis, ateliers pour transmettre. Recettes équilibrées, décors précis, échanges clients intégrés à la création.

### 🎓 Parcours avant l’ouverture
Ancienne enseignante, Alex prépare un CAP pâtisserie, enchaîne les stages, documente ses essais. Calendrier de production, prise de rendez-vous en ligne, kit de devis clair. Le bouche-à-oreille fait le reste : peu, mais très bien.

### 🎂 La vie du lieu
Week-ends d’événements (anniversaires, mariages) ; semaine en ateliers à domicile ou en tiers-lieu. On apprend la mousse qui tient, la ganache qui brille, la poche qui rassure. Les retours nourrissent les recettes. Un artisanat joyeux, précis et humain.

### 💡 Pourquoi c’est inspirant
- Modèle agile et frugal pour se lancer
- Progression par petites itérations et retours
- Exigence artisanale au service de vraies personnes

—
📍 Adresse : Vandœuvre-lès-Nancy
📸 Crédit photo : Alex’s Pastries
📰 Source : Site & réseaux
","6 Rue Notre-Dame-des-Pauvres, 54500 Vandœuvre-lès-Nancy","48.656","6.176","Site & réseaux — Alex’s Pastries","https://alexloulous.wixsite.com/alexspastries","https://static.wixstatic.com/media/d30316_7bde4702681c4fd5ab1446470d45bf88~mv2.jpeg/v1/fill/w_980,h_980,al_c,q_85/Entremets%20vanille%20fruits%20rouges.jpeg","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
