title,description,category,organization,location,time_commitment,latitude,longitude,is_active,tags,image_url,source_url
"Réunion d'information : aménagements de la rue Lucien Galtier Votre avis compte ! Venez échanger sur le projet d’aménagement de la rue Lucien Galtier, le 3 nov…","Réunion d'information : aménagements de la rue Lucien Galtier Votre avis compte ! Venez échanger sur le projet d’aménagement de la rue Lucien Galtier, le 3 novembre à Laneuveville-devant-Nancy.

🔗 En savoir plus : https://www.grandnancy.eu/actualites/actualite/news/reunion-dinformation-amenagements-de-la-rue-lucien-galtier",formation,,Nancy,3 novembre 2025,,,true,,https://www.grandnancy.eu/fileadmin/_processed_/5/d/csm_2025_10_27_reunion_publique_amenagement_rue_galtier_a1e94372a2.jpg,https://www.grandnancy.eu/actualites/actualite/news/reunion-dinformation-amenagements-de-la-rue-lucien-galtier
Devenir bénévole aux Restos du Cœur - être solidaire,"Etre bénévole c’est agir dans l’intérêt des plus faibles. Les Restos du cœur comptent sur votre solidarité pour des missions de bénévolat près de chez vous.

🔗 En savoir plus : https://www.restosducoeur.org/devenir-benevole/",benevolat,Restos du Cœur,,Créneaux réguliers — voir la page de l’organisateur,,,true,,,https://www.restosducoeur.org/devenir-benevole/
"« La prochaine fois, je saurai quoi répondre ! », retrouvez nos guides pour combattre les clichés","« La prochaine fois, je saurai quoi répondre ! », retrouvez nos guides pour combattre les clichés

🔗 En savoir plus : https://emmaus-france.org/la-prochaine-fois-je-saurai-quoi-repondre-retrouvez-nos-guides-pour-combattre-les-cliches/",formation,,,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://emmaus-france.org/wp-content/uploads/2024/12/2509_guides_hautarticle_guide.jpg,https://emmaus-france.org/la-prochaine-fois-je-saurai-quoi-repondre-retrouvez-nos-guides-pour-combattre-les-cliches/
Devenir bénévole,"Rejoignez-nous ! Devenir bénévole

🔗 En savoir plus : https://emmaus-france.org/sengager/devenir-benevole",benevolat,,,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://emmaus-france.org/wp-content/uploads/2023/04/Arles-2-scaled-e1734083452183.jpg,https://emmaus-france.org/sengager/devenir-benevole
La Fabrique des Possibles - Formation et accompagnement,"Le lieu de transformation des organisations et des individus en Occitanie pour repenser nos stratégies et nos modèles de développement.

🔗 En savoir plus : https://lafabriquedespossibles.fr",formation,La Fabrique des Possibles,,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://lafabriquedespossibles.org/wp-content/uploads/2021/03/header-rs-fabrique.png,https://lafabriquedespossibles.fr
Accueil — Communauté d'Agglomération de Saint-Dié-des-Vosges,"Tous vos services, à portée de clic sur le site officiel de la Communauté d'Agglomération de Saint-Dié-des-Vosges.

🔗 En savoir plus : https://www.ca-saintdie.fr",benevolat,,Saint-Dié,"30 octobre 2025, 14:30–16:30",,,true,,https://agglo.saint-die-des-vosges.fr/wp-content/uploads/2025/06/remarquable.jpg,https://www.ca-saintdie.fr
Solidarité : la Ville de Nancy lance une mutuelle communale ouverte à tous,"23/09/2025 Démarche administrative Cadre de vie Santé Santé, social, handicap Solidarité : la Ville de Nancy lance une mutuelle communale ouverte à tous

🔗 En savoir plus : https://www.nancy.fr/actualites/detail-actualites/solidarite-la-ville-de-nancy-lance-une-mutuelle-communale-ouverte-a-tous-avec-la-mutuelle-familiale",benevolat,Ville de Nancy,Nancy,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://www.nancy.fr/fileadmin/_processed_/2/4/csm_2025-09-23-mutuelle-vdn_c2704978bd.jpg,https://www.nancy.fr/actualites/detail-actualites/solidarite-la-ville-de-nancy-lance-une-mutuelle-communale-ouverte-a-tous-avec-la-mutuelle-familiale
Solidarité : la Ville de Nancy lance une mutuelle communale ouverte à tous,"23/09/2025 Démarche administrative Cadre de vie Santé Santé, social, handicap Solidarité : la Ville de Nancy lance une mutuelle communale ouverte à tous

🔗 En savoir plus : https://www.nancy.fr/accueil",benevolat,Ville de Nancy,Nancy,Créneaux réguliers — voir la page de l’organisateur,,,true,,,https://www.nancy.fr/accueil
Démarche RSE,"Démarche RSE DESTINATION NANCY a, dès sa naissance, inscrit dans son projet d’entreprise une démarche de Responsabilité Sociale des Entreprises (RSE), à découvrir en consultant nos rapports RSE.

🔗 En savoir plus : https://destination-nancy.com/destination-nancy/qualite-et-developpement-durable/",entreprendre,Destination Nancy,Nancy,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://destination-nancy.com/wp-content/uploads/2018/04/icone6.png,https://destination-nancy.com/destination-nancy/qualite-et-developpement-durable/
Programme Ambassadeurs,"Programme Ambassadeurs Le programme Ambassadeurs de DESTINATION NANCY vise à accompagner les professionnels de Grand Nancy en mettant à leur disposition des outils de savoir-faire dans l’organisation et l’accueil d’événements professionnels.

🔗 En savoir plus : https://destination-nancy.com/destination-nancy/le-programme-ambassadeur/",formation,Destination Nancy,Nancy,Créneaux réguliers — voir la page de l’organisateur,,,true,,https://destination-nancy.com/wp-content/uploads/2018/04/icone5.png,https://destination-nancy.com/destination-nancy/le-programme-ambassadeur/
Vosges.fr le site officiel du Conseil départemental,"Découvrez les services, actualités et actions du Conseil départemental des Vosges. Infos, aides, démarches et projets pour les habitants et le territoire.

🔗 En savoir plus : https://www.vosges.fr/",benevolat,,,Créneaux réguliers — voir la page de l’organisateur,,,true,,,https://www.vosges.fr/
