title,description,category,organization,location,time_commitment,latitude,longitude,tags,image_url,source_url,starts_at,ends_at,is_active
DONNER UN TOIT À CEUX QUI N’EN ONT PAS : L’ACTION SOLIDAIRE D’UN TOIT POUR LES MIGRANTS,"l’association Un Toit pour les 
Migrants se mobilise pour offrir 
un logement digne aux familles 
et aux jeunes isolés sans 
papiers, qui souvent attendent 
leur régularisation pendant de 
longues années. Ces personnes, 
tant qu’elles n’obtiennent pas 
de titre de séjour, ne peuvent en 
effet ni travailler ni bénéficier 
d’aides publiques, ce qui rend 
leur quotidien particulièrement 
précaire.
L’accès au logement devient 
alors un véritable parcours du 
combattant : sans fiche de paie, 
les agences immobilières et 
propriétaires hésitent souvent à 
leur louer un bien.
Or, la loi n’interdit pas de louer 
à des personnes sans papiers. 
Le principe de fraternité, 
reconnu par le Conseil 
constitutionnel, protège cet 
engagement citoyen. Pour 
donner un toit à ceux qui 
n’en ont pas, Un Toit pour les 
Migrants loue directement 
des appartements pour le 
compte des familles et jeunes 
isolés. Elle en assure toutes 
les garanties financières, grâce 
au précieux soutien des Villes 
de Nancy et de Vandœuvre lès-Nancy, du Conseil 
départemental de Meurthe-et Moselle, mais surtout grâce 
à la générosité de nombreux 
donateurs particuliers.
En acceptant de louer votre 
logement à l’association, 
vous offrez plus qu’un toit : 
vous rendez possible une vie 
décente, en protégeant des 
familles de situations indignes 
et souvent dangereuses chez 
des marchands de sommeil. 
Soutenir Un Toit pour les 
Migrants, c’est défendre des 
valeurs humaines essentielles : 
la solidarité, la dignité et le 
droit au logement pour toutes 
et tous.
Pour vous engager auprès de 
l’association ou faire un don : 
un-toit-pour-les-migrants.com",benevolat,,"17 Rue Drouin, 54000 Nancy",,48.6921,6.1844,Bénévolat,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,1
Le Secours Populaire,"Ce bâtiment rénové sur 430 m², réparti sur deux 
niveaux, a été pensé comme un véritable lieu de vie. Au 
rez-de-chaussée, une épicerie solidaire en libre-service 
a vu le jour, accompagnée d’un chaleureux espace 
café-jeux pour les parents et leurs enfants. À l’étage, un 
pôle santé et éducation favorise rencontres, conseils et 
accompagnement.
Face à la hausse constante du nombre de bénéficiaires 
— passé de 2100 en 2019 à plus de 3000 en 2025 —, le 
déménagement était devenu une priorité. L’ancien 
site de l’avenue du Général Leclerc ne pouvait plus 
répondre à la demande croissante. Avec ce nouveau 
lieu, l’association triple la superficie de son accueil 
alimentaire, tout en renforçant ses actions sociales : 
accompagnement à la parentalité, éveil des tout-petits, 
accès à la culture, au sport, ou encore initiatives de 
coiffure solidaire.
Au-delà de l’aide d’urgence, ce nouvel espace se veut 
une porte d’entrée vers un accompagnement global, 
plaçant la solidarité, le respect et la dignité au cœur de 
chaque projet",benevolat,,"67 rue Saint-Nicolas, 54000 Nancy",,48.6921,6.1844,Bénévolat,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,1
Dispositif hivernal des repas du soir,"Dans le cadre de la période hivernale, le dispositif des 
repas du soir a repris depuis le 3 novembre et se poursuivra 
jusqu’au 31 mars 2026, au 12 rue Pierre Fourier à Nancy.
Ce dispositif, porté par le CCAS de la Ville de Nancy, vise 
à offrir chaque soir de la semaine un repas chaud et un 
moment d’échange aux personnes en situation de précarité.
Il repose sur 
l’engagement de 
70 bénévoles, issus 
de quatre associations 
partenaires : 
Les Restos du Cœur, 
les Bruits du Cœur, 
le Secours Catholique, 
la Banque Alimentaire.
Grâce à leur 
mobilisation, cette 
action permet non 
seulement d’apporter 
une aide alimentaire, 
mais aussi de 
maintenir le lien social 
tout au long de la 
période hivernale.
Du lundi au vendredi de 18h30 à 20h30
Fermé le week-end et les jours fériés 
Vous souhaitez vous engager en tant que bénévole ? 
Contactez-nous à l’adresse suivante : 
atelier-des-solidarites@nancy.fr",benevolat,,"5 Rue Léopold Lallement, 54000 Nancy",,48.6921,6.1844,Bénévolat,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,1
L'Echiquier,"Ouvert début septembre rue de la Commanderie, 
L’Échiquier annonce aussitôt la couleur avec son 
plafond en damier. Mais attention, il ne s’agit pas d’un 
club d’échec mais bien d’un café-échec. Les trois salles 
proposent un univers différent : une salle « Chess-café », 
une salle « Académie » et une salle « Boutique ».
Si L’Échiquier propose des tournois, des stages, des 
master classes, des cours collectifs ou individuels, des 
événements… il est également possible de privatiser le 
lieu. 
Mais l’idée première est de pouvoir jouer en parties 
libres entre amis sur de magnifiques échiquiers en bois 
de luxe, en sirotant un bon café ou une excellente bière 
pression. 
Si vous n’avez pas d’adversaire, pas de souci, ce 
café-échec a tout prévu en créant une application 
gratuite et facile d’utilisation. Il suffit d’y indiquer 
son prénom, son email et niveau (parmi 3 choix) et 
ses disponibilités, et L’Échiquier vous met en relation 
avec un joueur compatible et disponible sur les 
mêmes créneaux. 
Et tous les mardis soir, de 20h à 22h30, « L’Échiquier » 
propose des tournois au sein de la ligue « ChessBar » 
qui rassemble plus de 100 établissements accueillant 
chaque semaine des tournois d’échecs",rencontres,,"9 Rue de la Commanderie, 54000 Nancy",,48.6921,6.1844,Rencontrer,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1200&q=80,,,,1
Rebond entre en jeu rue Héré,"Fodé-Diao s’est lancé dans un travail méticuleux. 
Depuis plus de deux heures, il nettoie au coton tige les moindre recoins d’un camion de pompier 
rutilant. Le jouet va ensuite passer entre les mains 
de Malaury pour un test qualité en règle. 
En moins de six mois, l’Association Rebond a 
récupéré 2,6 tonnes de jouets, ponctuellement 
auprès d’entreprises organisant des collectes, ou 
auprès d’entreprises et d’associations partenaires. 
« Nous collectons également des jouets dans les 
zones de réemploi des déchetteries de Ludres et de 
Messein. 80 % des jouets et jeux collectés passent 
notre contrôle qualité. Les 20 % restants repartent 
en filières de recyclage », précise Pierre Ecrement, 
coordinateur de l’atelier-chantier d’insertion. 
Rebond, la première recyclerie spécialisée dans 
le jeu et le jouet en Meurthe-et-Moselle, emploie 
11 salariés. Comme Barakissa, chargée du nettoyage 
à la vapeur chaude des peluches et des poupées. 
Lorsque les jouets arrivent sur la plateforme, ils sont 
d’abord triés. 
« Nous vérifions leur état, qu’ils comportent la 
norme CE. Ensuite vient l’étape de la valorisation », 
explique M. Ecrement. L’ensemble des jouets et des 
jeux est méticuleusement nettoyé. Page par page 
pour les livres ou pièce par pièce pour les LEGO… 
Pour pouvoir être mis en vente, les jeux et jouets 
doivent être complets et en bon état. « Certains sont 
même neufs, encore dans leurs emballages. Mais 100 % 
des jouets et jeux que nous revendons sont testés et 
passent les contrôles qualité ». 
Le 5 novembre dernier, Rebond ouvrait sa toute 
première boutique éphémère au 15, rue Héré. Une 
belle vitrine, des jeux et des jouets à prix doux et 
même un espace vintage feront le bonheur des 
petits et des grands jusqu’à la fin des fêtes de fin 
d’année. « C’est une formidable opportunité. Et pour 
nos salariés c’est une expérience supplémentaire 
dans leur parcours », se réjouit Pierre Ecrement. 
L’association sera également présente au Noël Vert, 
le marché écoresponsable organisé par la Métropole 
du Grand Nancy, les 29 et 30 novembre à la salle 
des fêtes de Gentilly",ecologiser,,"15 rue Héré, 54000 Nancy",,48.6921,6.1844,Ecologiser,https://images.unsplash.com/photo-1542601906990-b4d3fb778b09?w=1200&q=80,,,,1
Réunion d’information « Prêt à vous lancer »,-,entreprendre,,"Nancy, ",,48.6921,6.1844,Entreprendre,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=1200&q=80,,,,1
Soirée Communication non verbale,-,entreprendre,,"Nancy, ",,48.6921,6.1844,Entreprendre,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=1200&q=80,,,,1
Atelier « Micro-entrepreneur »,-,entreprendre,,"Nancy, ",,48.6921,6.1844,Entreprendre,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=1200&q=80,,,,1
L’art et la matière,"Le Cerfav à Vannes-le-Châtel
Le souffle des arts verriers 
Lieu de formation professionnelle mais aussi de création et 
d’innovation, boutique aux trésors colorés où l’on pourrait 
passer des heures, galerie d’expositions temporaires… Le 
Centre européen de recherche et formation aux arts verriers 
(Cerfav) est un acteur de référence aux multiples facettes 
dans le monde des métiers d’art. Il propose régulièrement des 
animations ouvertes au grand public, dès l’âge de 6 ans, tant 
en soufflage qu’en « fusing », cette technique d’association de 
verre coloré. 
VOICI LES PROCHAINS TEMPS FORTS, À VIVRE SEUL(E) OU À DEUX !
Créez votre décoration de Noël du 22 novembre 2025 au 4 
janvier 2026
Soufflage de boule de Noël et création de décorations de Noël 
en verre fusionné, à partir de 6 ans - ouverture des réservations 
le 5 novembre 2025. Et profitez-en pour trouver d’autres 
ravissantes décorations de Noël en boutique !
Soufflez votre cœur en duo pour la Saint-Valentin ou réalisez 
votre création en verre fusionné du 14 février au 1er mars 
2026
Une animation originale à vivre avec votre moitié ou toute autre 
personne que vous aimez ? Le soufflage d'un cœur en duo, si 
romantique… Autre animation sur cette même période : 
soufflage et verre fusionné (technique du Fusing) (modèle à 
définir), à partir de 6 ans - ouverture des réservations le 16 
janvier 2026. 
Pour en savoir plus : cerfav.fr/culture/animations
Et pour réserver directement : calendly.com/galerieatelier-cerfav
Les créations du Cerfav sont disponibles à la boutique de l’Office 
de Tourisme Métropolitain place Stanislas. 
Centre européen de recherche et formation aux arts verriers
Rue du Grippot à Vannes-le-Châtel
cerfav.f",formation,,"rue du Grippot, 54112 Vannes-le-Chatel",,48.6921,6.1844,Se former,https://images.unsplash.com/photo-1523240795612-9a054b0db644?w=1200&q=80,,,,1
"Le Lupin
Atelier de céramique","Le Lupin ~ Atelier de céramique est un atelier familial géré par 
un couple de deux artisans passionnés, Hélène Être et Kenny 
Broutin. Un lieu de création, de partage, de transmission mais 
surtout un lieu de vie, situé au cœur de Nancy, à 10 minutes à pied 
de la gare SNCF. L’Atelier propose des cours, initiations et stages 
et est également mis à disposition pour une pratique autodidacte 
de la terre. Des ventes éphémères de pièces artisanales y sont 
régulièrement organisées.",formation,,"5, place de la Croix de Bourgogne à Nancy",,48.6921,6.1844,Se former,https://images.unsplash.com/photo-1523240795612-9a054b0db644?w=1200&q=80,,,,1
