title,description,category,organization,location,time_commitment,latitude,longitude,tags,image_url,source_url,starts_at,ends_at,is_active
AD2S - VDSD 2025,Une conception de l'action sociale qui place la personne au cœur du projet  avec confiance et compréhension.,benevolat,AD2S,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ASSOCIATION CYNO-SENS - VDSD 2025,Forme des duos uniques personne handicapée / chien d’assistance pour plus d’autonomie et de sérénité.,benevolat,ASSOCIATION CYNO-SENS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ASSOCIATION MOVEMENT FRANCE - VDSD 2025,"Association qui oeuvre au Burkina Faso, dans les domaines du recyclage, de l'insertion des femmes, de la vente d’accessoires sur les principes du commerce équitable.",benevolat,ASSOCIATION MOVEMENT FRANCE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ASSOCIATION REGIONALE DES CIGALES DU GRAND EST - VDSD 2025,"Anime, soutient, forme et développe les clubs pour faire vivre la finance solidaire sur le territoire.",benevolat,ASSOCIATION REGIONALE DES CIGALES DU GRAND EST,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ASSOCIATION SENTI'HORSE EQUICIE - VDSD 2025,"Equicie et médiation environnementale à destination des personnes en situation de handicap, de fragilité passagère ou ressentant le besoin d’un accompagnement.",benevolat,ASSOCIATION SENTI'HORSE EQUICIE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ATELIER DARDAINE - VDSD 2025,"Menuisier - Ébéniste, fabricant de mobilier sur mesure et agencement autour de 3 axes : matériaux locaux, réalisations durables et produits sains.",benevolat,ATELIER DARDAINE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
BALADES ET BOTANIQUE - VDSD 2025,Balades de découverte des plantes sauvages en milieu naturel et urbain. Formations et conseils en botanique à la demande.,benevolat,BALADES ET BOTANIQUE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
CAP 0 HARCELEMENT - VDSD 2025,"Acteur impartial et innovant, engagé dans la prévention, la gestion et l’accompagnement face au harcèlement en milieu professionnel.",benevolat,CAP 0 HARCELEMENT,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54 - VDSD 2025,Valorisation de trois initiatives autour de l'entrepreneuriat artistique féminin du Nord 54 : création artisanale de bijoux et oeuvres picturales.,benevolat,COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS - VDSD 2025,Association de valorisation des oeuvres et créations d'artistes et artisans lorrains dans une boutique partagée.,benevolat,COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
COLLECTIF SOIN SOIN - VDSD 2025,"L'art clownesque pour stimuler joie, lien social et bien être chez les résidents, grâce à l'humour et la créativité.",benevolat,COLLECTIF SOIN SOIN,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
DES POTIONS ET DES BULLES - VDSD 2025,"Savons, cosmétiques et bougies végétales parfumées formulés, produits et conditionnés en laboratoires à Petitmont.",benevolat,DES POTIONS ET DES BULLES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
DOUCE EVASION VR - VDSD 2025,Une activité innovante qui permet aux seniors de s'évader et de voyager grâce à la réalité virtuelle.,benevolat,DOUCE EVASION VR,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
DREAMS'ART EVENT - VDSD 2025,Association créée par et pour des créateurs afin de promouvoir leurs réalisations au travers d'évènements.,benevolat,DREAMS'ART EVENT,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ENERCOOP NORD EST - VDSD 2025,"Coopérative d’énergie renouvelable, locale et citoyenne. Producteur, fournisseur et services énergétiques.",benevolat,ENERCOOP NORD EST,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ENVIE EN LORRAINE - VDSD 2025,Reconditonnement d’électroménager et de matériel médical. Commercialisation à tarif solidaire.,benevolat,ENVIE EN LORRAINE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
EQUITAIDE - VDSD 2025,Accompagnement par des professionnels qualifiés de toute personne confrontée à une difficulté désireuse de bénéficier d'un lien avec les équidés.,benevolat,EQUITAIDE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ESAT POLE TRAVAIL DE L'AEIM - VDSD 2025,Insertion professionnelle des personnes en situation de handicap :  9 ESAT (Etablissements et services d'accompagnement par le travail) et une entreprise adaptée multi-activités.,benevolat,ESAT POLE TRAVAIL DE L'AEIM,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ESPACE ENGAGEMENT JEUNESSE - VDSD 2025,"Entreprendre Pour Apprendre, le Challenge Écologie et Solidarité et le Pôle Entrepreneuriat Etudiant de Lorraine présentent des projets d’étudiants engagés.",benevolat,ESPACE ENGAGEMENT JEUNESSE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
ETUDES ET CHANTIERS ENGAGEMENT CIVIQUE - VDSD 2025,Mise en œuvre de projets de participation citoyenne dans la Région Grand Est.,benevolat,ETUDES ET CHANTIERS ENGAGEMENT CIVIQUE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
F.E.R. ENSEMBLE - VDSD 2025,Initiative liée à l'économie solidaire sur le territoire de Briey. Développement de projets territoriaux à vocation sociale.,benevolat,F.E.R. ENSEMBLE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
FEMALEAS - VDSD 2025,"Association qui aide les femmes à retrouver confiance après un burn-out, un deuil, une séparation ou une épreuve de vie.",benevolat,FEMALEAS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
FERME AQUAPONIQUE DES 3 RIVIERES - VDSD 2025,"Promouvoir l'aquaponie dans le grand est et vente des produits issus de l'activité : sels et aromates, fleurs comestibles…",benevolat,FERME AQUAPONIQUE DES 3 RIVIERES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
FERME LUTHOPIE - VDSD 2025,"Ferme collective, épicerie, guinguette et bien plus encore à Viterne !",benevolat,FERME LUTHOPIE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
