title,description,category,organization,location,time_commitment,latitude,longitude,tags,image_url,source_url,starts_at,ends_at,is_active
AD2S - VDSD 2025,"**AD2S** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre accompagnement entrepreneurial**

AD2S croit en un entrepreneuriat porteur de sens et ancré dans les territoires. Une conception de l'action sociale qui place la personne au cœur du projet  avec confiance et compréhension.

Nous accompagnons les porteurs de projet dans toutes les dimensions : technique, financière, humaine et stratégique. L'économie sociale et solidaire est notre boussole.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Nancy, 54100",entreprendre,AD2S,"Nancy, 54100",,48.688,6.195,"VDSD 2025, entreprendre",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://ad2s.fr,,,1
ASSOCIATION CYNO-SENS - VDSD 2025,"**ASSOCIATION CYNO-SENS** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre action solidaire**

ASSOCIATION CYNO-SENS place l'humain au cœur de son projet. Forme des duos uniques personne handicapée / chien d’assistance pour plus d’autonomie et de sérénité.

Nous croyons que chaque personne mérite dignité, écoute et accompagnement. Notre approche privilégie la proximité, l'empathie et l'action collective pour construire une société plus juste.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Tomblaine, 54510",benevolat,ASSOCIATION CYNO-SENS,"Tomblaine, 54510",,48.6833,6.2167,"VDSD 2025, benevolat",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://association-cyno-sens.fr,,,1
ASSOCIATION MOVEMENT FRANCE - VDSD 2025,"**ASSOCIATION MOVEMENT FRANCE** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre mission écologique**

Dans un contexte d'urgence climatique, ASSOCIATION MOVEMENT FRANCE développe des solutions concrètes pour la transition écologique. Association qui oeuvre au Burkina Faso, dans les domaines du recyclage, de l'insertion des femmes, de la vente d’accessoires sur les principes du commerce équitable.

L'association agit sur plusieurs leviers : sensibilisation du grand public, expérimentation de pratiques durables, et création de liens entre acteurs locaux engagés.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Nancy, 54100",ecologiser,ASSOCIATION MOVEMENT FRANCE,"Nancy, 54100",,48.688,6.195,"VDSD 2025, ecologiser",https://images.unsplash.com/photo-1542601906990-b4d3fb778b09?w=1200&q=80,https://association-movement-france.fr,,,1
ASSOCIATION REGIONALE DES CIGALES DU GRAND EST - VDSD 2025,"**ASSOCIATION REGIONALE DES CIGALES DU GRAND EST** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre accompagnement entrepreneurial**

ASSOCIATION REGIONALE DES CIGALES DU GRAND EST croit en un entrepreneuriat porteur de sens et ancré dans les territoires. Anime, soutient, forme et développe les clubs pour faire vivre la finance solidaire sur le territoire.

Nous accompagnons les porteurs de projet dans toutes les dimensions : technique, financière, humaine et stratégique. L'économie sociale et solidaire est notre boussole.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Nancy, 54100",entreprendre,ASSOCIATION REGIONALE DES CIGALES DU GRAND EST,"Nancy, 54100",,48.688,6.195,"VDSD 2025, entreprendre",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://association-regionale-des-cigales-du-grand-est.fr,,,1
ASSOCIATION SENTI'HORSE EQUICIE - VDSD 2025,"**ASSOCIATION SENTI'HORSE EQUICIE** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre mission écologique**

Dans un contexte d'urgence climatique, ASSOCIATION SENTI'HORSE EQUICIE développe des solutions concrètes pour la transition écologique. Equicie et médiation environnementale à destination des personnes en situation de handicap, de fragilité passagère ou ressentant le besoin d’un accompagnement.

L'association agit sur plusieurs leviers : sensibilisation du grand public, expérimentation de pratiques durables, et création de liens entre acteurs locaux engagés.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Lunéville, 54300",ecologiser,ASSOCIATION SENTI'HORSE EQUICIE,"Lunéville, 54300",,48.5897,6.4978,"VDSD 2025, ecologiser",https://images.unsplash.com/photo-1542601906990-b4d3fb778b09?w=1200&q=80,https://association-sentihorse-equicie.fr,,,1
ATELIER DARDAINE - VDSD 2025,"**ATELIER DARDAINE** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre démarche pédagogique**

ATELIER DARDAINE transmet des compétences essentielles pour l'autonomie et l'épanouissement. Menuisier - Ébéniste, fabricant de mobilier sur mesure et agencement autour de 3 axes : matériaux locaux, réalisations durables et produits sains.

Nos formations allient théorie et pratique, dans une logique d'éducation populaire où chacun apprend et partage ses savoirs.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Villers-lès-Nancy, 54600",formation,ATELIER DARDAINE,"Villers-lès-Nancy, 54600",,48.6719,6.1547,"VDSD 2025, formation",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://atelier-dardaine.fr,,,1
BALADES ET BOTANIQUE - VDSD 2025,"**BALADES ET BOTANIQUE** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre mission écologique**

Dans un contexte d'urgence climatique, BALADES ET BOTANIQUE développe des solutions concrètes pour la transition écologique. Balades de découverte des plantes sauvages en milieu naturel et urbain. Formations et conseils en botanique à la demande.

L'association agit sur plusieurs leviers : sensibilisation du grand public, expérimentation de pratiques durables, et création de liens entre acteurs locaux engagés.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Longwy, 54400",ecologiser,BALADES ET BOTANIQUE,"Longwy, 54400",,49.5208,5.7603,"VDSD 2025, ecologiser",https://images.unsplash.com/photo-1542601906990-b4d3fb778b09?w=1200&q=80,https://balades-et-botanique.fr,,,1
CAP 0 HARCELEMENT - VDSD 2025,"**CAP 0 HARCELEMENT** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre action solidaire**

CAP 0 HARCELEMENT place l'humain au cœur de son projet. Acteur impartial et innovant, engagé dans la prévention, la gestion et l’accompagnement face au harcèlement en milieu professionnel.

Nous croyons que chaque personne mérite dignité, écoute et accompagnement. Notre approche privilégie la proximité, l'empathie et l'action collective pour construire une société plus juste.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Villers-lès-Nancy, 54600",benevolat,CAP 0 HARCELEMENT,"Villers-lès-Nancy, 54600",,48.6719,6.1547,"VDSD 2025, benevolat",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://cap-0-harcelement.fr,,,1
COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54 - VDSD 2025,"**COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre accompagnement entrepreneurial**

COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54 croit en un entrepreneuriat porteur de sens et ancré dans les territoires. Valorisation de trois initiatives autour de l'entrepreneuriat artistique féminin du Nord 54 : création artisanale de bijoux et oeuvres picturales.

Nous accompagnons les porteurs de projet dans toutes les dimensions : technique, financière, humaine et stratégique. L'économie sociale et solidaire est notre boussole.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Blénod-lès-Pont-à-Mousson, 54700",entreprendre,COLLECTIF DES ENTREPRENEUSES ENGAGEES NORD 54,"Blénod-lès-Pont-à-Mousson, 54700",,48.8875,6.0472,"VDSD 2025, entreprendre",https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=1200&q=80,https://collectif-des-entrepreneuses-engagees-nord-54.fr,,,1
COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS - VDSD 2025,"**COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS** est une structure engagée qui œuvre en Meurthe-et-Moselle.

**Notre accompagnement entrepreneurial**

COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS croit en un entrepreneuriat porteur de sens et ancré dans les territoires. Association de valorisation des oeuvres et créations d'artistes et artisans lorrains dans une boutique partagée.

Nous accompagnons les porteurs de projet dans toutes les dimensions : technique, financière, humaine et stratégique. L'économie sociale et solidaire est notre boussole.

**Comment participer ?**

🤝 **Bénévolat** : Donnez de votre temps selon vos disponibilités et compétences
💰 **Soutien financier** : Adhésion, don ou parrainage d'actions spécifiques  
📢 **Communication** : Relayez nos actions dans vos réseaux
🤔 **Partenariat** : Collectivités, entreprises, associations, construisons ensemble

**Présent au Village de la Solidarité et du Développement Durable 2025 (VDSD)**

Retrouvez-nous sur notre stand pour échanger, découvrir nos actions et explorer les façons de vous engager à nos côtés !

📍 Localisation : Nancy, 54000",entreprendre,COLLECTIF LORRAIN DES ARTISANS ET ARTISTES PROFESSIONNELS,"Nancy, 54000",,48.6921,6.1844,"VDSD 2025, entreprendre",https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,https://collectif-lorrain-des-artisans-et-artistes-profess.fr,,,1
